id;line_no;trace_id;status;result_code;result_msg;buyer_id;buyer_name;currency;amount_excl;tax_amount;amount_incl;tax_type;invoice_date;invoice_no;assigned_prefix;raw_payload;raw_hash;profile_detected;job_id;created_by;created_date;last_modified_by;last_modified_date
11;2;JOB2025102311170101-0002;OK;;;;小確幸商行;TWD;2187.58;109.38;2296.96;TAXABLE;2025-11-05;;;"{""line"": 2, ""desc"": ""seed"", ""sellerId"": ""22334455""}";db61803736c3379a9ded66a0d3bc75073416c5714ece2f0a59dbed30807629a7;Profile-Canonical;2;portal;2025-11-04T19:17:01.008Z;system;2025-11-02T23:17:01.008Z
12;3;JOB2025102311170101-0003;OK;;;8J00000000;木木雜貨店;TWD;3411.06;170.55;3581.61;TAXABLE;2025-10-30;AF00005377;AF;"{""line"": 3, ""desc"": ""seed"", ""sellerId"": ""22334455""}";58cb387e3efc13a156e366078f4c26bb86d4e022894eaca02f4d976439ffab9a;Profile-Canonical;2;portal;2025-10-28T12:17:01.008Z;system;2025-11-01T09:17:01.008Z
13;4;JOB2025102311170101-0004;OK;;;12233445;木木雜貨店;TWD;253.83;12.69;266.52;TAXABLE;2025-11-04;AE00002472;AE;"{""line"": 4, ""desc"": ""seed"", ""sellerId"": ""22334455""}";334b547da2ced8597e004576ec5e1e9a7c63981d4a2a33e0b3fabd5f0f2cb532;Profile-Legacy;2;portal;2025-10-31T07:17:01.008Z;system;2025-11-05T01:17:01.008Z
14;5;JOB2025102311170101-0005;OK;;;A123456789;;TWD;724.28;0.0;724.28;EXEMPT;2025-10-30;;;"{""line"": 5, ""desc"": ""seed"", ""sellerId"": ""22334455""}";b23524eac61d0293ac152afd1776faa90a56bc28789b3128a42d7e6c61c222c8;Profile-Canonical;2;portal;2025-10-27T07:17:01.008Z;system;2025-10-31T10:17:01.008Z
15;6;JOB2025102311170101-0006;OK;;;12233445;木木雜貨店;TWD;795.96;0.0;795.96;EXEMPT;2025-10-31;;;"{""line"": 6, ""desc"": ""seed"", ""sellerId"": ""22334455""}";8f3d6ab606333e58b96c071cca445181e05d9952b69e0216cf6063aad13119b5;Profile-Canonical;2;portal;2025-11-04T05:17:01.008Z;system;2025-11-03T21:17:01.008Z
16;7;JOB2025102311170101-0007;QUEUED;DUP_NO;欄位缺漏;8J00000000;;TWD;1662.66;0.0;1662.66;ZERO;2025-11-06;;;"{""line"": 7, ""desc"": ""seed"", ""sellerId"": ""22334455""}";68a8a9a52f9cc49cbde21d6ec3a347de91dd3cc3756f23ac863d67e30eab845d;Profile-Canonical;2;portal;2025-10-27T14:17:01.008Z;system;2025-11-01T14:17:01.008Z
17;8;JOB2025102311170101-0008;OK;;;;;TWD;3553.38;0.0;3553.38;EXEMPT;2025-10-28;AD00000329;AD;"{""line"": 8, ""desc"": ""seed"", ""sellerId"": ""22334455""}";848fae46b8ab279ab532121ef5146480874c7fe6b7c7e07f2661ffb47c9a7f86;Profile-Canonical;2;portal;2025-10-29T20:17:01.008Z;system;2025-11-01T18:17:01.008Z
18;9;JOB2025102311170101-0009;OK;;;A123456789;王小明;TWD;1765.1;0.0;1765.1;EXEMPT;2025-10-31;;;"{""line"": 9, ""desc"": ""seed"", ""sellerId"": ""22334455""}";eb8466c6b13f91fc8c7b8f63fed8ed90832106fdcc4d0423016f707a46280cae;Profile-Canonical;2;portal;2025-10-29T16:17:01.008Z;system;2025-11-03T16:17:01.008Z
19;10;JOB2025102311170101-0010;OK;;;12233445;;TWD;2265.46;0.0;2265.46;ZERO;2025-11-05;AE00000979;AE;"{""line"": 10, ""desc"": ""seed"", ""sellerId"": ""22334455""}";159e2fac76e75bfaeb23429ff6fb6ce0633e2aba2d382cc61019f302271efce7;Profile-Canonical;2;portal;2025-10-27T04:17:01.008Z;system;2025-11-01T11:17:01.008Z
20;1;JOB2025110503170102-0001;QUEUED;FMT01;發票號碼重複;8J00000000;小確幸商行;TWD;918.28;0.0;918.28;ZERO;2025-11-02;AF00005834;AF;"{""line"": 1, ""desc"": ""seed"", ""sellerId"": ""50991234""}";bfafa4b3a191741bca2749f8615deadda812c8f399dd591a283f0a429e82da36;Profile-Canonical;3;portal;2025-10-29T06:17:01.008Z;system;2025-11-06T04:17:01.008Z
21;2;JOB2025110503170102-0002;OK;;;;;TWD;4421.33;0.0;4421.33;ZERO;2025-10-29;AF00001533;AF;"{""line"": 2, ""desc"": ""seed"", ""sellerId"": ""50991234""}";f3c77cd2ac98b070ce61048ca8dc3072f1d3077aacef95ae8c268b162e3e3fce;Profile-Legacy;3;portal;2025-10-29T12:17:01.008Z;system;2025-11-04T12:17:01.008Z
22;3;JOB2025110503170102-0003;OK;;;A123456789;;TWD;4368.81;218.44;4587.25;TAXABLE;2025-11-05;AB00001233;AB;"{""line"": 3, ""desc"": ""seed"", ""sellerId"": ""50991234""}";c0282e3b7f3471270b9ff3cf001ecf8057c60db3cc995d1859a2e0fdbe5f7fa1;Profile-Legacy;3;portal;2025-11-02T02:17:01.008Z;system;2025-11-01T20:17:01.008Z
23;4;JOB2025110503170102-0004;QUEUED;0510;金額不平衡;8J00000000;王小明;TWD;2971.11;148.56;3119.67;TAXABLE;2025-11-01;AE00002566;AE;"{""line"": 4, ""desc"": ""seed"", ""sellerId"": ""50991234""}";34a7e02c5a5b4c0b100a906582e536c6bc8cf5d3217c110e564a9ef36411d9c4;Profile-Legacy;3;portal;2025-11-05T11:17:01.008Z;system;2025-11-04T23:17:01.008Z
24;5;JOB2025110503170102-0005;OK;;;12233445;;TWD;1086.79;0.0;1086.79;EXEMPT;2025-11-01;AE00004380;AE;"{""line"": 5, ""desc"": ""seed"", ""sellerId"": ""50991234""}";cf76f216cb553d6070a6d55976b560a88862ef90e2e3a321c5e01d27d0ec09d7;Profile-Canonical;3;portal;2025-10-28T22:17:01.008Z;system;2025-11-05T08:17:01.008Z
25;6;JOB2025110503170102-0006;OK;;;12233445;;TWD;3548.55;0.0;3548.55;ZERO;2025-10-30;;;"{""line"": 6, ""desc"": ""seed"", ""sellerId"": ""50991234""}";04a09562fd574e2cf5a90aaae5193a604c3f2b3d676cf030efc71887889d6f54;Profile-Legacy;3;portal;2025-10-29T20:17:01.008Z;system;2025-11-04T11:17:01.008Z
26;7;JOB2025110503170102-0007;QUEUED;0510;金額不平衡;;木木雜貨店;TWD;354.23;0.0;354.23;ZERO;2025-10-28;;;"{""line"": 7, ""desc"": ""seed"", ""sellerId"": ""50991234""}";0934499ce09b4e63bdc31a1b66e9799c68f65c6559d066cc817d3fbaa86a3895;Profile-Legacy;3;portal;2025-11-01T09:17:01.008Z;system;2025-11-06T06:17:01.008Z
27;8;JOB2025110503170102-0008;OK;;;A123456789;;TWD;2147.61;0.0;2147.61;ZERO;2025-11-05;AF00002500;AF;"{""line"": 8, ""desc"": ""seed"", ""sellerId"": ""50991234""}";718b92ab085cc3069c372ff594e503db6f75a554a17375fa1f9374448260a4f;Profile-Legacy;3;portal;2025-11-03T04:17:01.008Z;system;2025-11-04T00:17:01.008Z
28;9;JOB2025110503170102-0009;OK;;;8J00000000;;TWD;794.38;0.0;794.38;ZERO;2025-10-31;;;"{""line"": 9, ""desc"": ""seed"", ""sellerId"": ""50991234""}";bf41c8cccbc0050e492299f28e07cd568c6b6eda72837196df90467219b0b9b6;Profile-Legacy;3;portal;2025-11-06T00:17:01.008Z;system;2025-11-03T20:17:01.008Z
29;10;JOB2025110503170102-0010;OK;;;12233445;;TWD;3638.64;0.0;3638.64;ZERO;2025-10-27;AB00000415;AB;"{""line"": 10, ""desc"": ""seed"", ""sellerId"": ""50991234""}";2860514ef54b40418f0bfcbc86b39173970b8d8a09dcfbc7d035f60c559e056e;Profile-Legacy;3;portal;2025-11-05T15:17:01.008Z;system;2025-11-05T02:17:01.008Z
30;1;JOB2025103103170103-0001;OK;;;;;TWD;3466.47;173.32;3639.79;TAXABLE;2025-10-27;;;"{""line"": 1, ""desc"": ""seed"", ""sellerId"": ""77665544""}";da772711a2d94c9fc7a55dc652cd9e8bbe1e7fcbde0aa312c772489b0977abcc;Profile-Legacy;4;portal;2025-11-01T16:17:01.008Z;system;2025-11-01T22:17:01.008Z
31;2;JOB2025103103170103-0002;ERROR;FMT01;發票號碼重複;8J00000000;王小明;TWD;1652.93;82.65;1735.58;TAXABLE;2025-11-06;;;"{""line"": 2, ""desc"": ""seed"", ""sellerId"": ""77665544""}";a428b894de752e3074b200701f11986dcc0d894e9cdf8bde8c55b5f0edea4bf0;Profile-Canonical;4;portal;2025-11-02T19:17:01.008Z;system;2025-11-06T04:17:01.008Z
32;3;JOB2025103103170103-0003;OK;;;12233445;;TWD;139.47;0.0;139.47;EXEMPT;2025-11-01;AF00003881;AF;"{""line"": 3, ""desc"": ""seed"", ""sellerId"": ""77665544""}";4ba1a19a846e07472eed1161ec1069d591d5ed12cdfbf110ae40ceab0cd3a4dc;Profile-Canonical;4;portal;2025-11-05T01:17:01.008Z;system;2025-10-31T15:17:01.008Z
33;4;JOB2025103103170103-0004;OK;;;12233445;;TWD;1237.05;61.85;1298.9;TAXABLE;2025-11-06;AE00003874;AE;"{""line"": 4, ""desc"": ""seed"", ""sellerId"": ""77665544""}";1f6cf34d213fe604a5877218cd7e343d535aab41117aeea50da4e7d85414bcc6;Profile-Legacy;4;portal;2025-10-28T21:17:01.008Z;system;2025-11-02T12:17:01.008Z
34;5;JOB2025103103170103-0005;QUEUED;FMT01;金額不平衡;12233445;;TWD;2167.38;0.0;2167.38;EXEMPT;2025-10-31;;;"{""line"": 5, ""desc"": ""seed"", ""sellerId"": ""77665544""}";5ea97aeba916a18bd50313f3197f916e8f770db955d6f188ed82298561f882ad;Profile-Legacy;4;portal;2025-10-31T08:17:01.008Z;system;2025-11-03T21:17:01.008Z
35;6;JOB2025103103170103-0006;OK;;;;木木雜貨店;TWD;3498.12;174.91;3673.03;TAXABLE;2025-10-27;AB00000533;AB;"{""line"": 6, ""desc"": ""seed"", ""sellerId"": ""77665544""}";ca2249873329c490e11bf0e7a23bd5ec9ec71af2f5587f8798a04079a8c3cab7;Profile-Canonical;4;portal;2025-10-31T04:17:01.008Z;system;2025-11-04T09:17:01.008Z
36;7;JOB2025103103170103-0007;QUEUED;0510;金額不平衡;A123456789;;TWD;1614.68;0.0;1614.68;ZERO;2025-10-27;AD00001277;AD;"{""line"": 7, ""desc"": ""seed"", ""sellerId"": ""77665544""}";b5b2e1faf30c10dca79fc8d27cdc21c0306746de342d4fd72fa5d3ba03267b41;Profile-Canonical;4;portal;2025-11-04T09:17:01.008Z;system;2025-11-05T03:17:01.008Z
37;1;JOB2025110100170104-0001;OK;;;12233445;;TWD;311.97;0.0;311.97;EXEMPT;2025-10-31;;;"{""line"": 1, ""desc"": ""seed"", ""sellerId"": ""16888002""}";240a687aa5a40b00dafcebea162fe015ac416e8acef26de892b599279416b64b;Profile-Legacy;5;portal;2025-11-03T03:17:01.008Z;system;2025-11-03T13:17:01.008Z
38;2;JOB2025110100170104-0002;OK;;;8J00000000;木木雜貨店;TWD;2367.56;0.0;2367.56;EXEMPT;2025-11-06;AE00005099;AE;"{""line"": 2, ""desc"": ""seed"", ""sellerId"": ""16888002""}";39b80653535fff0a08126c09ce45e2d18b79dd5b1eabbc1639954af1c7b8661e;Profile-Legacy;5;portal;2025-11-04T01:17:01.008Z;system;2025-10-31T14:17:01.008Z
39;3;JOB2025110100170104-0003;OK;;;8J00000000;小確幸商行;TWD;2398.5;0.0;2398.5;ZERO;2025-10-28;AB00003063;AB;"{""line"": 3, ""desc"": ""seed"", ""sellerId"": ""16888002""}";e66a5bd749a4e6d3440a4390e1d928790e27a6c1e04f2401bdfd4eba5c447f27;Profile-Canonical;5;portal;2025-10-28T04:17:01.008Z;system;2025-11-02T21:17:01.008Z
40;4;JOB2025110100170104-0004;QUEUED;0402;格式錯誤;8J00000000;木木雜貨店;TWD;4072.47;0.0;4072.47;ZERO;2025-11-02;AF00003946;AF;"{""line"": 4, ""desc"": ""seed"", ""sellerId"": ""16888002""}";663229da70eef7a613021b28f3d9fce7bc6dc293651d812fd5e8a740f8b51151;Profile-Legacy;5;portal;2025-10-31T12:17:01.008Z;system;2025-11-03T00:17:01.008Z
41;5;JOB2025110100170104-0005;QUEUED;DUP_NO;欄位缺漏;;王小明;TWD;682.13;34.11;716.24;TAXABLE;2025-11-02;AC00003985;AC;"{""line"": 5, ""desc"": ""seed"", ""sellerId"": ""16888002""}";c010d3b1735e35aa89059c637226caa8447e0101a3afbda96fd20ed1cb07762d;Profile-Legacy;5;portal;2025-11-04T18:17:01.008Z;system;2025-11-01T03:17:01.008Z
42;6;JOB2025110100170104-0006;OK;;;8J00000000;王小明;TWD;2542.08;0.0;2542.08;ZERO;2025-11-05;AB00003919;AB;"{""line"": 6, ""desc"": ""seed"", ""sellerId"": ""16888002""}";b263156af1cd5a0ea2342d0a4f34cba1a11c1155f4e4f71933b8ec7599842105;Profile-Canonical;5;portal;2025-10-29T10:17:01.008Z;system;2025-11-04T18:17:01.008Z
43;7;JOB2025110100170104-0007;QUEUED;FMT01;格式錯誤;12233445;王小明;TWD;4201.95;0.0;4201.95;ZERO;2025-11-01;;;"{""line"": 7, ""desc"": ""seed"", ""sellerId"": ""16888002""}";10c0b18ce8043dd479ee62b4fbfdfd12aa074e4095508bb8eedc06fff9f967c6;Profile-Canonical;5;portal;2025-10-31T23:17:01.008Z;system;2025-11-04T18:17:01.008Z
44;8;JOB2025110100170104-0008;QUEUED;FMT01;金額不平衡;8J00000000;王小明;TWD;2094.76;0.0;2094.76;EXEMPT;2025-11-02;;;"{""line"": 8, ""desc"": ""seed"", ""sellerId"": ""16888002""}";16223be68e68ef93807006b6d79d1b45d03e3216c5d5d635ae23a4389aedd7e0;Profile-Legacy;5;portal;2025-10-26T20:17:01.008Z;system;2025-11-05T04:17:01.008Z
45;9;JOB2025110100170104-0009;QUEUED;FMT01;欄位缺漏;;;TWD;619.87;0.0;619.87;ZERO;2025-10-31;AC00000051;AC;"{""line"": 9, ""desc"": ""seed"", ""sellerId"": ""16888002""}";fabedf30fbd7067cb7244e71abfe09617a66046d03c676dd88ababe5eb021ae2;Profile-Legacy;5;portal;2025-10-30T15:17:01.008Z;system;2025-10-31T11:17:01.008Z
46;1;JOB2025110607170105-0001;ERROR;0402;欄位缺漏;8J00000000;王小明;TWD;3576.53;0.0;3576.53;ZERO;2025-10-31;;;"{""line"": 1, ""desc"": ""seed"", ""sellerId"": ""50991234""}";bfafa4b3a191741bca2749f8615deadda812c8f399dd591a283f0a429e82da36;Profile-Legacy;6;portal;2025-10-28T23:17:01.008Z;system;2025-11-04T10:17:01.008Z
47;2;JOB2025110607170105-0002;OK;;;12233445;木木雜貨店;TWD;3863.33;193.17;4056.5;TAXABLE;2025-11-05;AB00001156;AB;"{""line"": 2, ""desc"": ""seed"", ""sellerId"": ""50991234""}";f3c77cd2ac98b070ce61048ca8dc3072f1d3077aacef95ae8c268b162e3e3fce;Profile-Canonical;6;portal;2025-11-06T00:17:01.008Z;system;2025-11-01T11:17:01.008Z
48;3;JOB2025110607170105-0003;OK;;;;小確幸商行;TWD;3570.57;178.53;3749.1;TAXABLE;2025-10-28;AD00001301;AD;"{""line"": 3, ""desc"": ""seed"", ""sellerId"": ""50991234""}";c0282e3b7f3471270b9ff3cf001ecf8057c60db3cc995d1859a2e0fdbe5f7fa1;Profile-Legacy;6;portal;2025-11-02T00:17:01.008Z;system;2025-11-01T11:17:01.008Z
49;4;JOB2025110607170105-0004;OK;;;;王小明;TWD;1681.72;84.09;1765.81;TAXABLE;2025-10-30;AE00005209;AE;"{""line"": 4, ""desc"": ""seed"", ""sellerId"": ""50991234""}";34a7e02c5a5b4c0b100a906582e536c6bc8cf5d3217c110e564a9ef36411d9c4;Profile-Legacy;6;portal;2025-11-05T22:17:01.008Z;system;2025-11-05T23:17:01.008Z
50;5;JOB2025110607170105-0005;OK;;;8J00000000;王小明;TWD;4550.63;0.0;4550.63;EXEMPT;2025-10-28;AE00003703;AE;"{""line"": 5, ""desc"": ""seed"", ""sellerId"": ""50991234""}";cf76f216cb553d6070a6d55976b560a88862ef90e2e3a321c5e01d27d0ec09d7;Profile-Legacy;6;portal;2025-10-29T00:17:01.008Z;system;2025-11-05T18:17:01.008Z
